FY,agency_code,employee_count
2022-2023,6,38
2022-2023,600,5
2022-2023,601,30
2022-2023,602,11
2022-2023,604,1
2022-2023,605,64
2022-2023,606,12
2022-2023,608,16
2022-2023,609,58
2022-2023,610,961
2022-2023,611,281
2022-2023,612,405
2022-2023,613,299
2022-2023,614,316
2022-2023,615,96
2022-2023,616,35
2022-2023,617,135
2022-2023,618,3
2022-2023,619,527
2022-2023,620,19
2022-2023,621,47
2022-2023,622,423
2022-2023,624,79
2022-2023,625,92
2022-2023,629,166
2022-2023,630,498
2022-2023,631,24
2022-2023,632,129
2022-2023,633,76
2022-2023,634,38
2022-2023,635,35
2022-2023,636,92
2022-2023,637,114
2022-2023,638,5
2022-2023,640,110
2022-2023,641,11
2022-2023,642,62
2022-2023,643,47
2022-2023,644,88
2022-2023,645,31
2022-2023,646,558
2022-2023,647,37
2022-2023,650,21
2022-2023,651,1233
2022-2023,652,808
2022-2023,653,288
2022-2023,654,275
2022-2023,655,1048
2022-2023,656,610
2022-2023,657,168
2022-2023,659,310
2022-2023,660,22
2022-2023,664,22
2022-2023,667,61
2022-2023,673,1779
2022-2023,674,1306
2022-2023,675,8
2022-2023,677,5
2022-2023,680,1495
2022-2023,681,87
2022-2023,682,310
2022-2023,685,1
2022-2023,686,15
2022-2023,688,2
2022-2023,693,193
2022-2023,695,1015
2022-2023,696,43
2022-2023,697,6
2022-2023,7,13
2022-2023,701,296
2022-2023,702,588
2022-2023,703,57
2022-2023,712,1048
2022-2023,715,1
2022-2023,718,304
2022-2023,719,346
2022-2023,721,5
2022-2023,722,61
2022-2023,727,7
2022-2023,731,12
2022-2023,732,2
2022-2023,733,16
2022-2023,734,18
2022-2023,737,16
2022-2023,744,4
2022-2023,747,14
2022-2023,751,5
2022-2023,752,17
2022-2023,753,3
2022-2023,754,23
2022-2023,757,7
2022-2023,761,1
2022-2023,762,2110
2022-2023,763,52
2022-2023,765,1
2022-2023,768,4
2022-2023,777,4
2022-2023,785,614
2022-2023,786,13
2022-2023,791,376
2022-2023,792,1323
2022-2023,795,2
2022-2023,796,2
2022-2023,797,266
2022-2023,798,4
2022-2023,799,106
2022-2023,8,4
2022-2023,800,5631
2022-2023,802,1612
2022-2023,805,1
2022-2023,808,5
2022-2023,810,1176
2022-2023,811,132
2022-2023,812,95
2022-2023,813,2005
2022-2023,814,458
2022-2023,817,631
2022-2023,820,217
2022-2023,822,4
2022-2023,823,13
2022-2023,824,1
2022-2023,827,7
2022-2023,830,477
2022-2023,831,66
2022-2023,832,67
